,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
video,40,2.684563758389262,rex,33,2.1696252465483234,dico/2,38,2.5384101536406143,angli/n,21,1.439342015078821,rex,53,3.1985515992757994,venio,39,2.5128865979381443,rex,48,2.8169014084507045,monasterivm,81,4.876580373269115,habeo,27,1.9607843137254901,facio,32,2.038216560509554
corpvs,26,1.74496644295302,facio,29,1.9066403681788298,tempvs/1,30,2.004008016032064,noster,19,1.3022618231665526,tempvs/1,33,1.9915509957754978,domvs,25,1.610824742268041,ecclesia,33,1.936619718309859,christvs/n,28,1.6857314870559903,insvla,20,1.4524328249818446,habeo,30,1.910828025477707
avdio,19,1.2751677852348993,devs,24,1.5779092702169626,monasterivm,29,1.9372077488309953,avgvstine/n1,16,1.0966415352981496,fides/2,28,1.6898008449004225,frater,23,1.4819587628865978,episcopvs,33,1.936619718309859,corpvs,26,1.56532209512342,gens,19,1.3798111837327522,celebro,22,1.4012738853503186
respondeo,19,1.2751677852348993,vervs,21,1.3806706114398422,corpvs,23,1.5364061456245823,gens,15,1.0281014393420151,mitto,24,1.448400724200362,facio,23,1.4819587628865978,venio,30,1.7605633802816902,episcopvs,19,1.1438892233594222,locvs,17,1.2345679012345678,dominvs,21,1.337579617834395
spiritvs,19,1.2751677852348993,ago,14,0.9204470742932281,oratio,23,1.5364061456245823,sanctvs,15,1.0281014393420151,regnvm,24,1.448400724200362,dico/2,22,1.4175257731958764,britannia/n,30,1.7605633802816902,abbatissa,17,1.0234798314268514,omnis,15,1.0893246187363834,dico/2,20,1.2738853503184715
homo,17,1.1409395973154361,tempvs/1,13,0.8547008547008548,virtvs,22,1.4696058784235138,omnis,14,0.9595613433858807,edwin/n2,21,1.2673506336753169,ecclesia,21,1.3530927835051547,tempvs/1,28,1.643192488262911,dico/2,16,0.963275135460566,britannia/n,14,1.016702977487291,seqvor,20,1.2738853503184715
tantvs,14,0.9395973154362416,omnis,13,0.8547008547008548,avdio,19,1.2692050768203071,ecclesia,14,0.9595613433858807,ecclesia,18,1.0863005431502715,habeo,21,1.3530927835051547,christvs/n,24,1.4084507042253522,infirmitas,16,0.963275135460566,scoti/n,14,1.016702977487291,devs,19,1.210191082802548
facio,13,0.87248322147651,regnvm,13,0.8547008547008548,provincia,19,1.2692050768203071,fides/2,14,0.9595613433858807,annvs,18,1.0863005431502715,coepio,19,1.2242268041237114,roma/n,23,1.3497652582159625,refero,15,0.9030704394942807,pars,13,0.944081336238199,dominicvs,18,1.1464968152866242
dvco,13,0.87248322147651,dico/2,12,0.7889546351084813,episcopvs,18,1.2024048096192386,caelestis,14,0.9595613433858807,gens,17,1.0259505129752564,accipio,14,0.902061855670103,monasterivm,22,1.2910798122065728,devs,15,0.9030704394942807,picti/n,13,0.944081336238199,rex,17,1.0828025477707006
tempvs/1,12,0.8053691275167786,volo/3,12,0.7889546351084813,dominvs,18,1.2024048096192386,beatvs,13,0.8910212474297465,angli/n,17,1.0259505129752564,inqvio,14,0.902061855670103,provincia,21,1.232394366197183,svscipio,15,0.9030704394942807,britanni/n,12,0.8714596949891068,doceo,17,1.0828025477707006
