,Topic1,,,Topic2,,,Topic3,,,Topic4,,,Topic5,,,Topic6,,,Topic7,,,Topic8,,,Topic9,,,Topic10,,,Topic11,,,Topic12,,,Topic13,,,Topic14,,,Topic15,,,Topic16,,,Topic17,,,Topic18,,,Topic19,,,Topic20,
Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage,Word,Count,Percentage
antes,3,0.3003003003003003,exeo,4,0.40650406504065045,ancilla,4,0.40816326530612246,nox,4,0.4094165813715456,uerus,4,0.3988035892323031,educo,3,0.31413612565445026,peritus,4,0.41797283176593525,arca,3,0.31779661016949157,magnus,5,0.5133470225872689,alieno,5,0.5050505050505051,leo,4,0.39254170755642787,portius,4,0.41928721174004197,deinceps,3,0.32085561497326204,accido,3,0.32397408207343414,acceptum,5,0.5076142131979695,quinque,4,0.398406374501992,aperio,4,0.423728813559322,incestum,4,0.38022813688212925,magnus,3,0.30060120240480964,redeo,4,0.4250797024442083
ligo,3,0.3003003003003003,hic,4,0.40650406504065045,deduco,4,0.40816326530612246,confero,3,0.3070624360286591,invicem,4,0.3988035892323031,locusta,3,0.31413612565445026,colonus,3,0.3134796238244514,civis,3,0.31779661016949157,facultas,3,0.3080082135523614,edico,5,0.5050505050505051,supplico,4,0.39254170755642787,cognosco,3,0.3144654088050315,refero,3,0.32085561497326204,consuetudo,3,0.32397408207343414,consilium,4,0.40609137055837563,spero,4,0.398406374501992,orior,4,0.423728813559322,antea,3,0.28517110266159695,acquisitio,3,0.30060120240480964,caput,3,0.3188097768331562
maneo,3,0.3003003003003003,ambo,3,0.3048780487804878,euenio,4,0.40816326530612246,filius,3,0.3070624360286591,accipio,3,0.29910269192422734,dissero,3,0.31413612565445026,committo,3,0.3134796238244514,decerno,3,0.31779661016949157,morior,3,0.3080082135523614,bos,4,0.40404040404040403,sacer,3,0.2944062806673209,cura,3,0.3144654088050315,aestas,3,0.32085561497326204,exhibeo,3,0.32397408207343414,probo,4,0.40609137055837563,animal,3,0.29880478087649404,aurum,3,0.31779661016949157,compositio,3,0.28517110266159695,advocatus,3,0.30060120240480964,perpendo,3,0.3188097768331562
molesto,3,0.3003003003003003,inimico,3,0.3048780487804878,mors,3,0.30612244897959184,confingo,3,0.3070624360286591,acquiro,3,0.29910269192422734,puer,3,0.31413612565445026,extraordinarius,3,0.3134796238244514,esse,3,0.31779661016949157,observo,3,0.3080082135523614,concedo,4,0.40404040404040403,appareo,3,0.2944062806673209,debitor,3,0.3144654088050315,novellus,2,0.21390374331550802,incido,3,0.32397408207343414,soleo,4,0.40609137055837563,corrigo,3,0.29880478087649404,contradico,3,0.31779661016949157,credo,3,0.28517110266159695,antea,3,0.30060120240480964,caesar,3,0.3188097768331562
noxia,3,0.3003003003003003,tutela,3,0.3048780487804878,homicidium,3,0.30612244897959184,perfidia,3,0.3070624360286591,bonum,3,0.29910269192422734,las,2,0.20942408376963353,uiuus,3,0.3134796238244514,fero,3,0.31779661016949157,totum,3,0.3080082135523614,damnatus,4,0.40404040404040403,deficio,3,0.2944062806673209,dignitas,3,0.3144654088050315,accommodo,2,0.21390374331550802,insero,3,0.32397408207343414,terra,3,0.3045685279187817,custodio,3,0.29880478087649404,medietas,3,0.31779661016949157,fraudulentus,3,0.28517110266159695,antequam,3,0.30060120240480964,libertas,2,0.21253985122210414
percutio,3,0.3003003003003003,vincio,3,0.3048780487804878,impius,3,0.30612244897959184,longus,2,0.2047082906857728,causa,3,0.29910269192422734,liber,2,0.20942408376963353,carus,3,0.3134796238244514,intellego,3,0.31779661016949157,usque,3,0.3080082135523614,adtendo,3,0.30303030303030304,dimitto,3,0.2944062806673209,duodecim,3,0.3144654088050315,antiqui,2,0.21390374331550802,nihil,3,0.32397408207343414,ubii,3,0.3045685279187817,decem,3,0.29880478087649404,mulier,3,0.31779661016949157,ignis,3,0.28517110266159695,secum,3,0.30060120240480964,primus,2,0.21253985122210414
post,3,0.3003003003003003,pomponius,2,0.20325203252032523,male,3,0.30612244897959184,aedifico,2,0.2047082906857728,defungor,3,0.29910269192422734,seuerus,2,0.20942408376963353,terminus,2,0.20898641588296762,ordino,3,0.31779661016949157,amor,2,0.20533880903490762,ample,3,0.30303030303030304,majestas,3,0.2944062806673209,facile,3,0.3144654088050315,arbitratus,2,0.21390374331550802,omne,3,0.32397408207343414,adulter,3,0.3045685279187817,dedo,3,0.29880478087649404,pereo,3,0.31779661016949157,incendo,3,0.28517110266159695,testis,3,0.30060120240480964,absum,2,0.21253985122210414
quantus,3,0.3003003003003003,secundus,2,0.20325203252032523,mandatum,3,0.30612244897959184,alienus,2,0.2047082906857728,diversus,3,0.29910269192422734,aboleo,2,0.20942408376963353,adfirmo,2,0.20898641588296762,decurro,3,0.31779661016949157,her,2,0.20533880903490762,autem,3,0.30303030303030304,postquam,3,0.2944062806673209,lignum,3,0.3144654088050315,cautela,2,0.21390374331550802,perhibeo,3,0.32397408207343414,atque,3,0.3045685279187817,hodie,3,0.29880478087649404,tantus,3,0.31779661016949157,infra,3,0.28517110266159695,malignus,3,0.30060120240480964,accuso,2,0.21253985122210414
modicus,3,0.3003003003003003,xii,2,0.20325203252032523,mando,3,0.30612244897959184,aliud,2,0.2047082906857728,exerceo,3,0.29910269192422734,commodo,2,0.20942408376963353,advoco,2,0.20898641588296762,pictus,3,0.31779661016949157,spes,2,0.20533880903490762,honeste,3,0.30303030303030304,sicuti,3,0.2944062806673209,negotior,3,0.3144654088050315,damno,2,0.21390374331550802,sors,3,0.32397408207343414,boni,3,0.3045685279187817,iudico,3,0.29880478087649404,ajo,2,0.211864406779661,mala,3,0.28517110266159695,dominus,2,0.2004008016032064,aer,2,0.21253985122210414
