,Topic1,,,Topic2,
Word,Count,Percentage,Word,Count,Percentage
abcisionem,1,0.6060606060606061,abstvterit,1,0.5494505494505495
acquisitor,1,0.6060606060606061,acclamacione,1,0.5494505494505495
adalmodis,1,0.6060606060606061,adalmode,1,0.5494505494505495
adempramento,1,0.6060606060606061,advlterancivm,1,0.5494505494505495
adempramentvm,1,0.6060606060606061,aeiiintre,1,0.5494505494505495
aifligere,1,0.6060606060606061,agvait,1,0.5494505494505495
aliscaram,1,0.6060606060606061,alamandi,1,0.5494505494505495
alodia,1,0.6060606060606061,alodio,1,0.5494505494505495
alodii,1,0.6060606060606061,alodis,1,0.5494505494505495
apprehensio,1,0.6060606060606061,ammonitvs,1,0.5494505494505495
assecvratvm,1,0.6060606060606061,amoneri,1,0.5494505494505495
assencientibvs,1,0.6060606060606061,ancipitrem,1,0.5494505494505495
avctorizatvm,1,0.6060606060606061,appercione,1,0.5494505494505495
baiulus,1,0.6060606060606061,aqvindamento,1,0.5494505494505495
baivtvs,1,0.6060606060606061,aqvindare,1,0.5494505494505495
banni,1,0.6060606060606061,arnalli,1,0.5494505494505495
bannvm,1,0.6060606060606061,artificiosus,1,0.5494505494505495
barchinonae,1,0.6060606060606061,assalt,1,0.5494505494505495
barckinonae,1,0.6060606060606061,assecvrata,1,0.5494505494505495
bataier,1,0.6060606060606061,assencio,1,0.5494505494505495
bavzator,1,0.6060606060606061,avctorizata,1,0.5494505494505495
bernardi,1,0.6060606060606061,avctorizaverint,1,0.5494505494505495
bisora,1,0.6060606060606061,averamentvm,1,0.5494505494505495
bonefilii,1,0.6060606060606061,averare,1,0.5494505494505495
caldarius,1,0.6060606060606061,avsonensis,1,0.5494505494505495
calide,1,0.6060606060606061,bachallarii,1,0.5494505494505495
calvmpniam,1,0.6060606060606061,baivlia,1,0.5494505494505495
cardo,1,0.6060606060606061,baivliam,1,0.5494505494505495
catani,1,0.6060606060606061,baivlias,1,0.5494505494505495
caldariam,1,0.6060606060606061,baivliis,1,0.5494505494505495
catius,1,0.6060606060606061,barchinonam,1,0.5494505494505495
cavallariam,1,0.6060606060606061,barchinone,1,0.5494505494505495
cavallario,1,0.6060606060606061,barchinonensis,1,0.5494505494505495
cavalle,1,0.6060606060606061,barchinosae,1,0.5494505494505495
cavatcatas,1,0.6060606060606061,barcrinonae,1,0.5494505494505495
cavellariam,1,0.6060606060606061,bastonis,1,0.5494505494505495
cechiam,1,0.6060606060606061,bataia,1,0.5494505494505495
cervarie,1,0.6060606060606061,bataiam,1,0.5494505494505495
cherall,1,0.6060606060606061,bavdatores,1,0.5494505494505495
